Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,48.720001,49.290001,47.389999,47.459999,28.877323,3310800
2012-01-04,47.380001,47.639999,46.880001,46.910000,28.542675,3049000
2012-01-05,46.849998,47.570000,46.750000,47.520000,28.913826,3034400
2012-01-06,47.490002,48.200001,47.169998,47.730000,29.041584,2765600
2012-01-09,47.980000,48.680000,47.810001,48.180000,29.315407,2976800
2012-01-10,48.730000,49.270000,48.430000,48.570000,29.552698,2331600
2012-01-11,48.490002,49.750000,48.439999,49.320000,30.009045,2718100
2012-01-12,49.389999,49.529999,48.730000,48.799999,29.692640,2937300
2012-01-13,48.549999,48.779999,47.689999,47.900002,29.145041,2309900
2012-01-17,48.490002,49.000000,48.419998,48.529999,29.528370,2698000
2012-01-18,48.919998,50.279999,48.700001,50.020000,30.434971,4924800
2012-01-19,50.020000,51.450001,50.020000,51.029999,31.049500,4331500
2012-01-20,51.790001,52.000000,50.820000,51.500000,31.335482,4628000
2012-01-23,51.310001,51.500000,50.549999,50.570000,30.769611,2917400
2012-01-24,50.770000,51.330002,50.310001,51.259998,31.189440,3203600
2012-01-25,50.980000,51.500000,50.529999,51.240002,31.177286,2683700
2012-01-26,51.259998,52.110001,50.029999,50.259998,30.580994,3878300
2012-01-27,51.450001,53.049999,50.910000,52.330002,31.840506,6841800
2012-01-30,51.509998,51.950001,50.880001,51.070000,31.073847,4263100
2012-01-31,51.750000,51.779999,50.500000,51.110001,31.098181,3991700
2012-02-01,51.810001,52.150002,51.209999,51.700001,31.457176,2548100
2012-02-02,51.810001,51.990002,51.470001,51.529999,31.353720,1869900
2012-02-03,52.119999,52.290001,51.720001,51.980000,31.627529,2695500
2012-02-06,51.650002,51.689999,50.779999,50.830002,30.927820,2623000
2012-02-07,50.660000,51.189999,50.389999,51.099998,31.092085,2887500
2012-02-08,50.959999,51.720001,50.939999,51.320000,31.225962,1979400
2012-02-09,51.500000,51.500000,50.549999,50.770000,30.891306,1943300
2012-02-10,50.130001,50.349998,49.209999,49.410000,30.063807,2910700
2012-02-13,49.759998,50.099998,48.439999,49.119999,29.887369,3265700
2012-02-14,49.090000,49.630001,48.910000,49.599998,30.179417,2035700
2012-02-15,49.820000,50.380001,49.259998,49.330002,30.015129,2371700
2012-02-16,49.139999,50.840000,49.029999,50.680000,31.056894,2691200
2012-02-17,51.000000,51.130001,49.910000,50.169998,30.744371,2273900
2012-02-21,48.959999,49.279999,48.029999,48.209999,29.543276,3832000
2012-02-22,48.119999,48.490002,47.980000,48.299999,29.598425,2945500
2012-02-23,48.439999,48.750000,47.959999,48.549999,29.751629,2177400
2012-02-24,48.630001,48.980000,47.639999,47.750000,29.261381,2469100
2012-02-27,47.669998,48.750000,47.290001,48.250000,29.567785,2129000
2012-02-28,48.340000,49.299999,48.139999,49.060001,30.064165,1983200
2012-02-29,49.090000,49.299999,48.230000,48.389999,29.653572,2748600
2012-03-01,48.529999,48.869999,47.889999,48.080002,29.463604,2343400
2012-03-02,47.950001,48.270000,47.639999,47.750000,29.261381,1925900
2012-03-05,47.630001,47.700001,46.580002,47.000000,28.801783,2949800
2012-03-06,46.790001,47.480000,46.660000,47.330002,29.004004,3634500
2012-03-07,47.529999,47.810001,47.189999,47.630001,29.187845,2430900
2012-03-08,47.900002,48.029999,47.529999,47.950001,29.383945,2831900
2012-03-09,48.110001,49.549999,48.099998,49.459999,30.309278,3807600
2012-03-12,49.290001,49.959999,48.939999,49.820000,30.529879,2896100
2012-03-13,50.000000,50.639999,49.720001,50.580002,30.995613,3488500
